Step,X,Y,Z,Species
0,0,0,0,Li_Metal
0,2.235,2.235,2.235,Li_Metal
0,2.235,0,2.235,FSDEE
0,0,2.235,2.235,FSDEE
0,0,2.235,0,LiFSI
0,0,0,2.235,FSDEE
0,1.1175,3.3525,1.1175,FSDEE
0,1.1175,1.1175,3.3525,LiFSI
0,3.3525,1.1175,3.3525,FSDEE
0,1.1175,3.3525,3.3525,LiFSI
0,3.3525,3.3525,3.3525,FSDEE
0,4.47,0,0,Li_Metal
0,6.705,2.235,2.235,Li_Metal
0,6.705,2.235,0,FSDEE
0,6.705,0,2.235,FSDEE
0,4.47,2.235,2.235,FSDEE
0,4.47,2.235,0,FSDEE
0,5.5875,1.1175,1.1175,FSDEE
0,7.8225,1.1175,1.1175,LiFSI
0,5.5875,3.3525,1.1175,FSDEE
0,5.5875,1.1175,3.3525,FSDEE
0,7.8225,3.3525,1.1175,LiFSI
0,7.8225,1.1175,3.3525,FSDEE
0,5.5875,3.3525,3.3525,FSDEE
0,7.8225,3.3525,3.3525,FSDEE
0,8.94,0,0,Li_Metal
0,11.175,2.235,2.235,Li_Metal
0,11.175,2.235,0,LiFSI
0,11.175,0,2.235,FSDEE
0,8.94,2.235,2.235,LiFSI
0,11.175,0,0,FSDEE
0,8.94,2.235,0,FSDEE
0,8.94,0,2.235,LiFSI
0,10.0575,1.1175,1.1175,FSDEE
0,12.2925,1.1175,1.1175,FSDEE
0,10.0575,1.1175,3.3525,FSDEE
0,12.2925,3.3525,1.1175,FSDEE
0,12.2925,1.1175,3.3525,LiFSI
0,12.2925,3.3525,3.3525,FSDEE
0,13.41,0,0,Li_Metal
0,15.645,2.235,2.235,Li_Metal
0,15.645,2.235,0,LiFSI
0,15.645,0,2.235,LiFSI
0,13.41,2.235,2.235,LiFSI
0,15.645,0,0,LiFSI
0,13.41,0,2.235,FSDEE
0,14.5275,1.1175,1.1175,FSDEE
0,16.7625,1.1175,1.1175,FSDEE
0,14.5275,3.3525,1.1175,FSDEE
0,14.5275,1.1175,3.3525,FSDEE
0,16.7625,3.3525,1.1175,FSDEE
0,16.7625,1.1175,3.3525,LiFSI
0,14.5275,3.3525,3.3525,FSDEE
0,16.7625,3.3525,3.3525,FSDEE
0,17.88,0,0,Li_Metal
0,20.115,2.235,2.235,Li_Metal
0,20.115,2.235,0,FSDEE
0,20.115,0,2.235,FSDEE
0,17.88,2.235,2.235,FSDEE
0,20.115,0,0,FSDEE
0,17.88,2.235,0,FSDEE
0,17.88,0,2.235,FSDEE
0,18.9975,1.1175,1.1175,FSDEE
0,21.2325,1.1175,1.1175,FSDEE
0,18.9975,3.3525,1.1175,FSDEE
0,18.9975,1.1175,3.3525,LiFSI
0,21.2325,3.3525,1.1175,LiFSI
0,21.2325,1.1175,3.3525,FSDEE
0,18.9975,3.3525,3.3525,LiFSI
0,21.2325,3.3525,3.3525,FSDEE
0,22.35,0,0,Li_Metal
0,24.585,2.235,2.235,Li_Metal
0,24.585,2.235,0,FSDEE
0,24.585,0,2.235,LiFSI
0,22.35,2.235,2.235,FSDEE
0,22.35,0,2.235,FSDEE
0,25.7025,3.3525,1.1175,FSDEE
0,25.7025,1.1175,3.3525,FSDEE
0,23.4675,3.3525,3.3525,LiFSI
0,25.7025,3.3525,3.3525,FSDEE
0,26.82,0,0,Li_Metal
0,29.055,2.235,2.235,Li_Metal
0,29.055,0,2.235,FSDEE
0,26.82,2.235,2.235,FSDEE
0,29.055,0,0,FSDEE
0,26.82,2.235,0,FSDEE
0,26.82,0,2.235,LiFSI
0,27.9375,1.1175,1.1175,FSDEE
0,30.1725,1.1175,1.1175,FSDEE
0,27.9375,3.3525,1.1175,LiFSI
0,27.9375,1.1175,3.3525,FSDEE
0,30.1725,3.3525,1.1175,FSDEE
0,30.1725,1.1175,3.3525,FSDEE
0,27.9375,3.3525,3.3525,FSDEE
0,30.1725,3.3525,3.3525,FSDEE
0,31.29,0,0,Li_Metal
0,33.525,2.235,2.235,Li_Metal
0,33.525,2.235,0,FSDEE
0,33.525,0,2.235,LiFSI
0,31.29,2.235,2.235,LiFSI
0,33.525,0,0,FSDEE
0,31.29,2.235,0,LiFSI
0,31.29,0,2.235,FSDEE
0,32.4075,1.1175,1.1175,LiFSI
0,34.6425,1.1175,1.1175,FSDEE
0,32.4075,3.3525,1.1175,FSDEE
0,32.4075,1.1175,3.3525,FSDEE
0,34.6425,3.3525,1.1175,FSDEE
0,34.6425,1.1175,3.3525,LiFSI
0,32.4075,3.3525,3.3525,FSDEE
0,34.6425,3.3525,3.3525,FSDEE
0,35.76,0,0,Li_Metal
0,37.995,2.235,2.235,Li_Metal
